BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:13:CE:D1:C4:05, 2019-07-10 02:44:04, 2019-07-10 02:46:35, -76,        5, (not associated) ,
DA:A1:19:E9:FC:19, 2019-07-10 02:47:20, 2019-07-10 02:47:20, -76,        2, (not associated) ,
D2:B2:2F:77:FE:49, 2019-07-10 02:46:36, 2019-07-10 02:46:36, -74,        1, (not associated) ,
40:78:6A:31:0F:D6, 2019-07-10 02:39:53, 2019-07-10 02:47:21, -70,       92, (not associated) ,Sunjoy,sunjoyua,panorama,TP-LINK_4DD306,HOME16,UKrtelecom_1395,INTERNET,INET,Stari Kaxeti,U_Morya
34:97:F6:0E:28:34, 2019-07-10 02:36:43, 2019-07-10 02:47:07, -70,       81, (not associated) ,SSID
B8:27:EB:DF:F6:2F, 2019-07-10 02:36:19, 2019-07-10 02:47:18, -56,       19, 00:15:FF:A7:E8:51,
F2:D1:C2:52:53:91, 2019-07-10 02:46:50, 2019-07-10 02:46:50, -56,        4, (not associated) ,
C2:9F:DC:8C:FA:DC, 2019-07-10 02:47:07, 2019-07-10 02:47:08, -54,        2, (not associated) ,
F6:8E:44:FE:1B:FD, 2019-07-10 02:47:05, 2019-07-10 02:47:05, -50,        1, (not associated) ,
46:1B:0D:BA:BF:70, 2019-07-10 02:46:25, 2019-07-10 02:46:25, -46,        1, (not associated) ,
CA:71:9A:DB:AA:54, 2019-07-10 02:46:53, 2019-07-10 02:46:53, -46,        2, (not associated) ,
D2:CD:51:CD:D3:EA, 2019-07-10 02:46:48, 2019-07-10 02:46:48, -42,        1, (not associated) ,
DA:A1:19:87:81:60, 2019-07-10 02:47:21, 2019-07-10 02:47:21, -40,        4, (not associated) ,
BA:29:BD:72:80:8F, 2019-07-10 02:46:30, 2019-07-10 02:46:30, -18,        1, (not associated) ,
42:69:14:F0:AF:92, 2019-07-10 02:46:57, 2019-07-10 02:46:57, -18,        2, (not associated) ,
E2:0A:AC:F8:46:A1, 2019-07-10 02:47:00, 2019-07-10 02:47:00, -18,        4, (not associated) ,iPhone
EE:BD:98:98:9D:F4, 2019-07-10 02:46:29, 2019-07-10 02:46:29, -12,        2, (not associated) ,
26:35:66:1A:63:FE, 2019-07-10 02:36:11, 2019-07-10 02:47:05,  -6,       34, BA:53:AC:9C:67:D2,TD7
DA:A1:19:38:58:89, 2019-07-10 02:47:27, 2019-07-10 02:47:27, -72,        4, (not associated) ,INTERNET
